prec_id,Donald J. Trump,Gary Johnson,Hillary Clinton,Jill Stein (Write-In),Write-In (Miscellaneous),JIll Stein (Write-In)
craven_N1,574,43,933,7,16,
craven_N2,326,23,1139,2,8,
craven_4,454,30,348,1,3,
craven_7,1020,30,681,0,6,
craven_N6,1770,100,1285,3,41,
craven_N5,357,29,851,1,11,
craven_13,427,11,91,0,2,
craven_6,431,18,490,1,3,
craven_3,1990,78,700,0,33,
craven_21,1400,47,531,3,17,
craven_9,191,2,192,0,2,
craven_11,1463,49,377,2,8,
craven_10,419,9,200,0,5,
craven_N3,714,39,616,2,6,
craven_N4,1079,72,1408,3,34,
craven_23,2267,81,1180,6,37,
duplin_FAIS,284,8,209,,1,0
duplin_WARS,255,4,526,,1,2
duplin_CHIN,300,3,66,,1,0
duplin_LOCK,151,4,31,,1,0
duplin_CYCK,523,10,91,,1,1
duplin_ROCK,221,6,162,,0,0
duplin_CFRK,280,5,26,,0,0
duplin_SMCA,281,8,58,,1,0
duplin_WALL,596,13,561,,9,1
duplin_GLIS,249,4,37,,2,0
duplin_ROSE,312,7,250,,1,1
duplin_BEUL,604,11,157,,2,0
duplin_CALY,313,8,106,,3,0
duplin_ALBE,459,7,104,,6,1
duplin_WOLF,489,12,113,,5,0
duplin_HALL,200,8,113,,2,0
duplin_CHAR,147,2,276,,1,0
duplin_ABSENTEE,195,7,110,,2,0
duplin_KENA,216,11,199,,4,0
duplin_MAGN,161,4,204,,4,1
caswell_STON,929,24,502,3,1,
caswell_YANC,606,37,805,0,9,
caswell_ANDE,388,15,172,0,0,
caswell_MILT,571,31,815,1,2,
caswell_LOCU,569,12,778,2,0,
caswell_PH,802,22,441,0,3,
caswell_CURBSIDE,79,1,160,0,1,
caswell_LEAS,250,17,213,0,2,
caswell_PELH,1296,39,621,1,9,
caswell_PROVI,347,11,202,1,0,
caswell_ABSENTEE,178,5,76,1,2,
cleveland_KM N,1971,48,1107,10,25,
cleveland_KM S,1784,47,1030,5,16,
cleveland_RIPPY,1653,40,724,5,14,
cleveland_POLKVL,1274,22,281,2,8,
cleveland_SHANGI,1308,42,510,1,8,
cleveland_OAKGRV,1773,41,426,4,10,
cleveland_LATT,1446,49,343,0,10,
cleveland_S 5,899,31,812,1,9,
cleveland_MULLS,1073,32,239,4,4,
cleveland_BETHWR,982,22,242,2,11,
cleveland_WACO,1398,45,706,3,10,
cleveland_BR,2346,60,825,6,48,
cleveland_LAWNDL,641,14,556,1,6,
cleveland_KINGST,219,9,445,1,2,
cleveland_GROVER,1541,34,496,6,15,
cleveland_S C,2048,114,2371,9,50,
cleveland_FALSTN,913,16,169,2,8,
cleveland_CASAR,858,18,74,0,7,
cleveland_MRB-YO,809,20,190,5,8,
cleveland_S 4A,1561,65,1604,5,17,
cleveland_S S,1982,81,1814,3,19,
cumberland_ABSENTEE 31-57,637,76,504,4,24,
cumberland_G2D,1106,73,1270,2,24,
cumberland_G2B,918,71,1618,8,30,
cumberland_G4C,311,25,718,2,7,
cumberland_G8A,774,62,1235,4,14,
cumberland_AH49,533,47,1371,6,15,
cumberland_CC12,814,36,328,0,17,
cumberland_CC21,545,42,1390,3,19,
cumberland_G2C-2,849,58,913,1,22,
cumberland_MB62,286,33,1267,2,14,
cumberland_CC27,438,59,1525,4,23,
cumberland_CC03,231,18,417,0,6,
cumberland_G8C,504,25,814,2,6,
cumberland_CC07,417,26,269,0,10,
cumberland_G11B,713,95,636,6,31,
cumberland_G11A-2,315,39,973,2,9,
cumberland_CC04,323,37,358,2,13,
cumberland_G2C-1,565,73,855,4,9,
cumberland_G8D,938,63,745,9,14,
cumberland_LI65,1361,48,682,2,13,
cumberland_CC31,469,43,643,0,11,
cumberland_CC34,783,29,557,1,14,
