prec_id,Barry Gurney (Write-In),David Waddell (Write-In),John Rhodes (Write-In),Kay Hagan,Sean Haugh,Thom Tillis,Write-In (Miscellaneous),BARRY GURNEY (Write-In),DAVID WADDELL (Write-In),JOHN RHODES (Write-In)
catawba_41,,0,0,308,39,1042,0,,,
catawba_1,,0,2,240,85,1086,3,,,
catawba_2,,0,0,233,56,742,3,,,
catawba_5,,0,1,423,60,717,3,,,
catawba_22,,0,0,385,68,804,8,,,
catawba_ONESTOP,,0,0,98,12,107,0,,,
catawba_20,,0,0,361,75,851,3,,,
catawba_32,,1,0,469,75,618,11,,,
catawba_34,,0,0,613,128,1406,6,,,
catawba_35,,0,0,250,40,467,1,,,
catawba_37,,0,2,403,65,532,10,,,
catawba_33,,0,0,652,115,1623,8,,,
catawba_30,,0,0,525,66,767,3,,,
catawba_13,,0,0,284,27,142,1,,,
catawba_29,,0,0,276,70,698,1,,,
catawba_8,,0,0,335,46,799,5,,,
catawba_11,,0,0,224,17,236,2,,,
catawba_14,,0,0,354,30,488,2,,,
catawba_19,,2,0,178,23,268,0,,,
catawba_28,,0,0,340,67,795,1,,,
catawba_7,,0,0,425,52,645,5,,,
catawba_16,,0,0,383,64,428,1,,,
catawba_38,,0,0,495,60,886,2,,,
catawba_39,,0,0,347,50,897,1,,,
catawba_36,,0,0,408,55,726,4,,,
catawba_15,,0,0,326,4,5,1,,,
catawba_17,,0,0,224,45,306,0,,,
catawba_23,,0,0,530,87,1172,7,,,
catawba_24,,0,0,459,66,1235,2,,,
catawba_26,,0,1,368,29,558,4,,,
chatham_MCH110,0,0,0,672,57,351,1,,,
chatham_18,0,0,0,174,36,354,0,,,
chatham_30,0,0,0,163,15,245,2,,,
chatham_45,0,0,0,160,21,196,1,,,
chatham_24,0,0,0,29,17,265,0,,,
chatham_ESC114,0,0,0,411,36,411,0,,,
chatham_9,0,0,0,115,24,316,1,,,
chatham_6,0,0,0,75,17,289,0,,,
chatham_73,0,0,0,399,4,140,0,,,
chatham_42,0,0,0,205,24,341,1,,,
chatham_ONESTOP,0,0,1,8678,279,5155,7,,,
chatham_75,0,0,0,579,31,650,0,,,
chatham_PIT113,0,0,0,767,49,578,0,,,
chatham_85,0,0,0,244,26,268,0,,,
chatham_21,0,0,0,244,31,269,0,,,
chatham_15,0,0,0,323,24,190,1,,,
chatham_3,0,0,0,160,32,383,3,,,
chatham_NWM117,0,0,0,466,20,380,2,,,
chatham_78,0,0,2,531,29,451,0,,,
chatham_20,0,0,0,242,27,404,1,,,
cherokee_MARB,,,,168,35,453,0,,,
cherokee_ANSW,,,,224,50,455,0,,,
cherokee_ANNW,,,,230,34,439,5,,,
cherokee_MURS,,,,315,33,668,0,,,
cherokee_TOPT,,,,57,11,159,1,,,
cherokee_UNKA,,,,54,11,156,0,,,
cherokee_BELL,,,,138,14,363,0,,,
