prec_id,Mark Meadows,Tom Hill,election
swain_BC1,627,468,us_house_of_representatives_district_11
swain_ALARKA,281,213,us_house_of_representatives_district_11
swain_ALMOND,390,251,us_house_of_representatives_district_11
swain_WHCH,470,483,us_house_of_representatives_district_11
transylvania_TC1,331,86,us_house_of_representatives_district_11
transylvania_DR,757,621,us_house_of_representatives_district_11
transylvania_RE,724,219,us_house_of_representatives_district_11
transylvania_B4,344,434,us_house_of_representatives_district_11
transylvania_CM,236,185,us_house_of_representatives_district_11
transylvania_WC,605,395,us_house_of_representatives_district_11
transylvania_B2,307,427,us_house_of_representatives_district_11
transylvania_B3,527,465,us_house_of_representatives_district_11
transylvania_PF,378,235,us_house_of_representatives_district_11
transylvania_B1,433,521,us_house_of_representatives_district_11
transylvania_TC7,609,230,us_house_of_representatives_district_11
transylvania_LR,579,277,us_house_of_representatives_district_11
transylvania_BD,798,488,us_house_of_representatives_district_11
transylvania_CC,800,430,us_house_of_representatives_district_11
transylvania_EF,320,220,us_house_of_representatives_district_11
yancey_06 JAC,426,389,us_house_of_representatives_district_11
yancey_05 GRE,154,130,us_house_of_representatives_district_11
yancey_11 PRI,485,216,us_house_of_representatives_district_11
yancey_03 EGY,157,122,us_house_of_representatives_district_11
yancey_01 BUR,1111,858,us_house_of_representatives_district_11
yancey_04 RAM,112,65,us_house_of_representatives_district_11
yancey_10 PEN,203,113,us_house_of_representatives_district_11
yancey_07 BRU,126,88,us_house_of_representatives_district_11
yancey_02 CAN,476,270,us_house_of_representatives_district_11
yancey_08 CRA,918,547,us_house_of_representatives_district_11
yancey_09 SOU,615,530,us_house_of_representatives_district_11
